Directory,Other,Vocals,Bass,Drums
Moosmusic - Big Dummy Shake,1.642506342,5.857681047,0.61325768,6.487756305
The Mountaineering Club - Mallory,1.185002839,7.808597604,6.588367778,4.231441128
Bobby Nobody - Stitch Up,-0.444508735,4.641415559,3.272929319,1.030452013
Punkdisco - Oral Hygiene,-2.238905841,3.824668153,-3.325889173,1.963952485
Lyndsey Ollard - Catching Up,-0.286635355,11.16981833,3.88756206,3.196225057
Al James - Schoolboy Facination,-5.338973742,5.432271662,5.235467516,0.831314032
James Elder & Mark M Thompson - The English Actor,2.373803784,4.52002732,2.46839961,5.695843065
The Easton Ellises - Falcon 69,0.830003047,2.520972236,4.736374007,6.520110689
Secretariat - Borderline,3.442682929,3.934179554,-0.247853996,0.569309036
Sambasevam Shanmugam - Kaathaadi,1.566327652,8.042617161,5.137000382,-2.288139456
Signe Jakobsen - What Have You Done To Me,-0.07825192,6.314293603,-0.644350592,-1.03001559
Girls Under Glass - We Feel Alright,3.773489026,1.86284485,-3.930940073,-1.092820263
Mu - Too Bright,-2.320074398,4.628729072,-2.953256046,9.135482018
Speak Softly - Broken Man,1.868642981,-0.476219336,3.289938822,2.231881869
Georgia Wonder - Siren,0.211433324,-1.189830839,5.74660086,2.678876843
Arise - Run Run Run,-9.830349802,4.271977002,2.765169123,-4.296299241
Juliet_s Rescue - Heartbeats,0.285451139,4.756053275,-0.48879351,8.795372062
Raft Monk - Tiring,-0.871022342,0.027326006,2.826162616,3.013784523
Little Chicago_s Finest - My Own,-7.409002953,5.858559016,0.802832783,2.60192469
M.E.R.C. Music - Knockout,-1.909022729,3.744771211,0.524875588,0.569591998
Triviul feat. The Fiend - Widow,-3.796452001,5.249464806,8.677593511,-0.372265395
Tom McKenzie - Directions,-2.224772267,8.037851838,-2.516373867,10.50076732
Timboz - Pony,4.007075381,0.893254772,-4.616593747,-1.582367259
BKS - Bulldozer,0.643279905,-5.876098324,2.656094936,7.690761502
The Sunshine Garcia Band - For I Am The Moon,-11.95793554,7.578404909,-1.813933387,-5.434521779
Ben Carrigan - We_ll Talk About It All Tonight,0.482693066,1.715607209,5.341877891,3.404874166
The Easton Ellises (Baumi) - SDRNR,-2.668394207,4.083630679,2.946157254,6.257271968
AM Contra - Heart Peripheral,-6.406777871,6.803900623,-4.854584394,1.370787665
The Doppler Shift - Atrophy,0.835932616,4.361253474,-6.113721082,3.875808155
Motor Tapes - Shore,2.87656601,2.452664438,5.440751499,1.561509883
Detsky Sad - Walkie Talkie,-1.640501617,2.583411096,-23.12953462,3.392853053
Buitraker - Revo X,-1.436187561,2.03599159,3.069750105,5.85366433
Zeno - Signs,2.272288114,4.167696082,-3.311916221,5.064759732
Hollow Ground - Ill Fate,-0.414981894,5.180425747,-3.226905974,3.069953552
Cristina Vane - So Easy,-1.424084148,6.599139856,-0.303196799,7.110492499
Speak Softly - Like Horses,-3.501976148,1.367274487,7.228214802,-1.473804462
Angels In Amplifiers - I_m Alright,1.049812226,6.254593775,2.145185462,1.947791208
Side Effects Project - Sing With Me,-6.428552577,8.925090879,0.145034389,8.729875618
Skelpolu - Resurrection,0.476744394,-2.53032596,9.369985532,3.982722608
Nerve 9 - Pray For The Rain,3.403423391,4.96802971,3.725679699,7.943713035
Louis Cressy Band - Good Time,3.591399563,5.162274741,3.605952749,7.002137733
BKS - Too Much,-0.769891056,7.086926152,5.909688958,3.816138174
Carlos Gonzalez - A Place For Us,0.748732924,3.472249905,-3.681844382,0.777627641
Secretariat - Over The Top,2.991450326,4.944447619,6.045894086,1.775038853
We Fell From The Sky - Not You,5.075299019,0.554026463,-4.51499439,7.91171411
Enda Reilly - Cur An Long Ag Seol,0.818590839,7.346341709,-1.732244112,-6.090130131
Forkupines - Semantics,2.67422461,3.50333923,1.159294322,7.640224925
PR - Happy Daze,-22.32307365,-12.98962519,6.180484481,9.236667602
PR - Oh No,-8.651287462,-6.912090803,-6.237714575,5.470720768
,,,,
average,-1.127444089,3.562651102,0.895876263,3.291445517
median,0.211433324,4.361253474,2.145185462,3.196225057